Questions,Difficulty 
What do you understand about a temporary table? Write a query to create a temporary table.,1
Explain the difference between OLTP and OLAP.,2
What do you understand by Self Join? Explain using Example.,1
Which command do we use to find out the SQL Server version?,2
What is the difference between Union and Union All operators?,2
Can we link SQL Server with others?,2
What is SQL Server Agent?,3
What is Cursor? How to use a Cursor?,1
What do you know about magic tables in SQL Server?,3
What is the use of the Intersect operator?,3
How can you copy data from one table into another?,3
What is the difference between BETWEEN and IN operators in SQL?,2
Describe how to delete duplicate rows using a single statement but without any table creation.,3
Can you identify the employee who is having the third-highest salary from the given Employee table (with salary-related data)?,1
What is the difference between HAVING and WHERE clauses?,1
Explain database white box testing and black box testing.,3
Mention Oracle DBA Characteristics.,2
What is Oracle?,1
What is an Oracle Database?,1
What is an Oracle index?,2
Why is the index used?,3
Who is responsible to update the indexes?,3
What are the various databases available in the market?,1
What are the physical components of Oracle Database?,3
What are the roles of DBA?,1
What are the different Oracle Database objects?,3
What is a Synonym in Oracle terminology? ,3
Explain the types of Synonyms? ,1
What are the types of backups in Oracle?,1
What are Hot Backup and Cold Backup?,1
What is the password file and why it is needed?,1
What are datafiles?,1
How do you switch from an init.ora file to a spfile?,2
What are the different types of SQL statements?,2
What is Data Normalization?,2
What is a control file? ,1
How will you recover a lost control file?,1
What do you mean by Red logo files?,3
Define Parameter files?,3
What do you mean by Recovery Catalog?,1
Define system tablespace and why do we need it?,3
How to find the database version?,1
What is the sequence?,3
What is the definition of the table in Oracle?,2
What do you mean by a view in SQL terminology?,2
Explain the advantages of using view?,1
"In Oracle terminology, what do you mean by tablespace?",2
How long does it take for the SYSTEM tablespace to be created?,2
What is the relationship between tablespace and datafiles?,1
How do we use the materialized view?,1
What is the use of the SELECT statement?,1
How can you compare a part of the name rather than the entire name?,1
What is the keyword to get distinct records from a table?,1
"In order to get sorted records from a table, what is the keyword?",3
"In order to get total records from a table, what is the keyword?",1
What is the definition of GROUP BY?,1
What are the methods to shutdown an Oracle database?,1
What are the benefits of ORDBMS?,1
What are the common Oracle DBA tasks?,3
List out the tools for administering the database.,3
Differentiate between a cluster and a grid.,3
Explain the architecture of Oracle Grid.,1
What are the tools you can use to start up an Oracle database?,3
What would you specify in the script while creating a database with SQL script?,2
Can you find out the indexes for a table in Oracle ?,1
What is SQL*plus? And what can be done with it?,1
Can you explain each digit in the Oracle database version?,1
What kind of information can be given while creating a sequence?,2
Explain how the “Database Writer” process works?,1
What are the instance parameters that are used for configuring shared server architecture?,2
How to know when operations happened on a table?,3
Tell me a few important views used in Oracle you have learned?,2
Compare SQL and PL/SQL.,2
What is PL/SQL?,1
What is the Basic Structure of PL/SQL?,3
What is a Trigger and what are its uses?,1
What Data Types are Present in PL/SQL?,3
What are the Basic Parts of a Trigger?,2
How is the Process of PL/SQL Compiled?,3
What is a Join?,1
What is a View?,1
What Does a PL/SQL Package Consist Of?,3
"What do you know about the Commands COMMIT, ROLLBACK, and SAVEPOINT?",2
What are the Benefits of PL/SQL Packages?,1
What is Exception Handling?,2
Mention a Few Predefined Exceptions,3
What are the Various Types of SQL Statements?,1
What are the Different Methods to Trace the PL/SQL Code?,3
What are the Various Types of Parameters in PL/SQL?,2
What are PL/SQL Records?,2
Why do we use Index in a Table?,1
"What is the Difference among Functions, Procedures, and Packages in PL/SQL?",1
Why are Database Links Used?,2
What is a Stored Procedure?,2
